city,date,pm25,pm10,o3,no2,so2,co,hour,day_of_week,month,is_weekend,season,aqi,dew,temperature,humidity,wind,no,nh3,wind_direction,pressure,feels_like,weather,weather_description
jharsuguda,2018-05-12 00:00:00,,158.0,1.0,19.0,7.0,14.0,0,5,5,1,spring,,,,,,,,,,,,
jharsuguda,2018-06-12 00:00:00,212.0,109.0,5.0,10.0,6.0,12.0,0,1,6,0,summer,,,,,,,,,,,,
jharsuguda,2018-07-12 00:00:00,178.0,102.0,7.0,9.0,6.0,11.0,0,3,7,0,summer,,,,,,,,,,,,
jharsuguda,2018-08-12 00:00:00,170.0,103.0,3.0,11.0,6.0,12.0,0,6,8,1,summer,,,,,,,,,,,,
jharsuguda,2018-09-12 00:00:00,176.0,103.0,3.0,15.0,7.0,12.0,0,2,9,0,monsoon,,,,,,,,,,,,
jharsuguda,2018-10-12 00:00:00,178.0,78.0,3.0,9.0,6.0,12.0,0,4,10,0,monsoon,,,,,,,,,,,,
jharsuguda,2018-11-12 00:00:00,160.0,,,,,,0,0,11,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-01-03 00:00:00,123.0,127.0,6.0,9.0,1.0,25.0,0,3,1,0,winter,,,,,,,,,,,,
jharsuguda,2019-01-04 00:00:00,162.0,106.0,8.0,10.0,3.0,26.0,0,4,1,0,winter,,,,,,,,,,,,
jharsuguda,2019-01-05 00:00:00,72.0,38.0,3.0,5.0,3.0,19.0,0,5,1,1,winter,,,,,,,,,,,,
jharsuguda,2019-01-06 00:00:00,48.0,52.0,10.0,8.0,3.0,27.0,0,6,1,1,winter,,,,,,,,,,,,
jharsuguda,2019-01-07 00:00:00,73.0,39.0,6.0,5.0,,16.0,0,0,1,0,winter,,,,,,,,,,,,
jharsuguda,2019-01-08 00:00:00,54.0,19.0,2.0,2.0,,16.0,0,1,1,0,winter,,,,,,,,,,,,
jharsuguda,2019-01-09 00:00:00,92.0,41.0,2.0,4.0,2.0,16.0,0,2,1,0,winter,,,,,,,,,,,,
jharsuguda,2019-01-10 00:00:00,93.0,54.0,2.0,6.0,4.0,18.0,0,3,1,0,winter,,,,,,,,,,,,
jharsuguda,2019-01-11 00:00:00,,105.0,2.0,5.0,4.0,21.0,0,4,1,0,winter,,,,,,,,,,,,
jharsuguda,2019-01-12 00:00:00,158.0,91.0,2.0,6.0,4.0,9.0,0,5,1,1,winter,,,,,,,,,,,,
jharsuguda,2019-02-03 00:00:00,166.0,108.0,2.0,9.0,1.0,26.0,0,6,2,1,winter,,,,,,,,,,,,
jharsuguda,2019-02-04 00:00:00,162.0,132.0,16.0,10.0,4.0,28.0,0,0,2,0,winter,,,,,,,,,,,,
jharsuguda,2019-02-05 00:00:00,36.0,29.0,2.0,4.0,2.0,19.0,0,1,2,0,winter,,,,,,,,,,,,
jharsuguda,2019-02-06 00:00:00,96.0,12.0,10.0,6.0,3.0,26.0,0,2,2,0,winter,,,,,,,,,,,,
jharsuguda,2019-02-07 00:00:00,54.0,27.0,5.0,4.0,,16.0,0,3,2,0,winter,,,,,,,,,,,,
jharsuguda,2019-02-08 00:00:00,58.0,20.0,2.0,2.0,,16.0,0,4,2,0,winter,,,,,,,,,,,,
jharsuguda,2019-02-09 00:00:00,60.0,46.0,,,,,0,5,2,1,winter,,,,,,,,,,,,
jharsuguda,2019-02-10 00:00:00,84.0,57.0,2.0,4.0,4.0,18.0,0,6,2,1,winter,,,,,,,,,,,,
jharsuguda,2019-02-11 00:00:00,158.0,110.0,3.0,2.0,4.0,21.0,0,0,2,0,winter,,,,,,,,,,,,
jharsuguda,2019-02-12 00:00:00,150.0,109.0,2.0,5.0,5.0,10.0,0,1,2,0,winter,,,,,,,,,,,,
