city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
angul,2026-05-21 19:17:05.468628,4,401.03,0,8.53,62.94,3.12,51.56,67.25,13.95
angul,2026-05-21 20:03:38.117329,4,440.16,0,9.4,50.94,3.07,54.46,70.99,15.17
angul,2026-05-21 20:38:21.353974,4,440.16,0,9.4,50.94,3.07,54.46,70.99,15.17
baripada,2026-05-21 19:17:08.954232,5,615.07,0,18.85,76.65,9.99,88.75,115.8,16.8
baripada,2026-05-21 20:03:43.026183,5,615.07,0,18.85,76.65,9.99,88.75,115.8,16.8
baripada,2026-05-21 20:38:25.858769,5,684.89,0,19.97,67.71,9.33,91.72,119.95,18.11
jharsuguda,2026-05-21 19:17:06.247511,4,364.76,0,7.7,86.72,5.38,54.57,77.4,14.12
jharsuguda,2026-05-21 20:03:39.134919,4,447.19,0,10.3,71.59,5.87,58.64,82.38,17.28
jharsuguda,2026-05-21 20:38:22.267733,4,447.19,0,10.3,71.59,5.87,58.64,82.38,17.28
kendujhar,2026-05-21 19:17:08.261873,4,362.01,0,8.94,70.39,7.78,52.27,69.27,10.27
kendujhar,2026-05-21 20:03:42.216074,4,402.98,0,9.72,62.71,7.04,53.98,71.51,12.39
kendujhar,2026-05-21 20:38:25.104318,4,402.98,0,9.72,62.71,7.04,53.98,71.51,12.39
rourkela,2026-05-21 19:17:06.916504,4,394.06,0,7.29,78.8,5.95,62.82,82.79,13.64
rourkela,2026-05-21 20:03:40.169455,4,434.31,0,8.34,68.44,5.77,64.29,84.83,15.88
rourkela,2026-05-21 20:38:23.197453,4,434.31,0,8.34,68.44,5.77,64.29,84.83,15.88
sundargarh,2026-05-21 19:17:07.583127,4,399.35,0,8.62,83.24,5.8,58.02,80.02,15.15
sundargarh,2026-05-21 20:03:41.192519,4,487.75,0,11.32,69.54,6.52,62.8,86.11,18.62
sundargarh,2026-05-21 20:38:24.109970,4,487.75,0,11.32,69.54,6.52,62.8,86.11,18.62
talcher,2026-05-21 19:17:04.709584,4,487.93,0,11.09,73.55,3.98,60.4,77.25,18.02
talcher,2026-05-21 20:03:37.090369,4,539.75,0,12.21,57.83,3.93,64.49,82.57,19.57
talcher,2026-05-21 20:38:20.423909,4,539.75,0,12.21,57.83,3.93,64.49,82.57,19.57
