city,date,pm25,pm10,o3,no2,so2,co
jharsuguda,2018-05-12,,158.0,1.0,19.0,7.0,14.0
jharsuguda,2018-06-12,212.0,109.0,5.0,10.0,6.0,12.0
jharsuguda,2018-07-12,178.0,102.0,7.0,9.0,6.0,11.0
jharsuguda,2018-08-12,170.0,103.0,3.0,11.0,6.0,12.0
jharsuguda,2018-09-12,176.0,103.0,3.0,15.0,7.0,12.0
jharsuguda,2018-10-12,178.0,78.0,3.0,9.0,6.0,12.0
jharsuguda,2018-11-12,160.0,,,,,
jharsuguda,2019-01-03,123.0,127.0,6.0,9.0,1.0,25.0
jharsuguda,2019-01-04,162.0,106.0,8.0,10.0,3.0,26.0
jharsuguda,2019-01-05,72.0,38.0,3.0,5.0,3.0,19.0
jharsuguda,2019-01-06,48.0,52.0,10.0,8.0,3.0,27.0
jharsuguda,2019-01-07,73.0,39.0,6.0,5.0,,16.0
jharsuguda,2019-01-08,54.0,19.0,2.0,2.0,,16.0
jharsuguda,2019-01-09,92.0,41.0,2.0,4.0,2.0,16.0
jharsuguda,2019-01-10,93.0,54.0,2.0,6.0,4.0,18.0
jharsuguda,2019-01-11,,105.0,2.0,5.0,4.0,21.0
jharsuguda,2019-01-12,158.0,91.0,2.0,6.0,4.0,9.0
jharsuguda,2019-02-03,166.0,108.0,2.0,9.0,1.0,26.0
jharsuguda,2019-02-04,162.0,132.0,16.0,10.0,4.0,28.0
jharsuguda,2019-02-05,36.0,29.0,2.0,4.0,2.0,19.0
jharsuguda,2019-02-06,96.0,12.0,10.0,6.0,3.0,26.0
jharsuguda,2019-02-07,54.0,27.0,5.0,4.0,,16.0
jharsuguda,2019-02-08,58.0,20.0,2.0,2.0,,16.0
jharsuguda,2019-02-09,60.0,46.0,,,,
jharsuguda,2019-02-10,84.0,57.0,2.0,4.0,4.0,18.0
jharsuguda,2019-02-11,158.0,110.0,3.0,2.0,4.0,21.0
jharsuguda,2019-02-12,150.0,109.0,2.0,5.0,5.0,10.0
jharsuguda,2019-03-03,171.0,119.0,5.0,7.0,1.0,26.0
jharsuguda,2019-03-04,188.0,137.0,18.0,10.0,4.0,28.0
jharsuguda,2019-03-05,49.0,65.0,9.0,6.0,3.0,21.0
jharsuguda,2019-03-06,,58.0,17.0,7.0,3.0,27.0
jharsuguda,2019-03-07,54.0,29.0,3.0,5.0,,17.0
jharsuguda,2019-03-08,41.0,17.0,1.0,4.0,,15.0
jharsuguda,2019-03-09,78.0,53.0,2.0,3.0,5.0,17.0
jharsuguda,2019-03-10,81.0,81.0,2.0,3.0,4.0,19.0
jharsuguda,2019-03-11,161.0,153.0,1.0,5.0,4.0,22.0
jharsuguda,2019-03-12,157.0,87.0,3.0,6.0,5.0,9.0
jharsuguda,2019-04-03,169.0,94.0,3.0,7.0,,26.0
jharsuguda,2019-04-04,192.0,,,,,
jharsuguda,2019-04-05,,26.0,,,,
jharsuguda,2019-04-06,96.0,78.0,19.0,10.0,3.0,27.0
jharsuguda,2019-04-07,75.0,11.0,3.0,5.0,,16.0
jharsuguda,2019-04-08,40.0,,,,,
jharsuguda,2019-04-09,90.0,25.0,2.0,2.0,4.0,16.0
jharsuguda,2019-04-10,117.0,67.0,3.0,3.0,3.0,19.0
jharsuguda,2019-04-11,178.0,118.0,5.0,3.0,5.0,20.0
jharsuguda,2019-04-12,149.0,85.0,9.0,6.0,6.0,7.0
jharsuguda,2019-05-03,158.0,84.0,6.0,7.0,2.0,24.0
jharsuguda,2019-05-04,,4.0,,,,
jharsuguda,2019-05-05,47.0,71.0,,,,
jharsuguda,2019-05-06,128.0,56.0,13.0,7.0,3.0,27.0
jharsuguda,2019-05-07,22.0,16.0,3.0,4.0,,16.0
jharsuguda,2019-05-08,,21.0,1.0,2.0,,17.0
jharsuguda,2019-05-09,56.0,28.0,3.0,2.0,4.0,17.0
jharsuguda,2019-05-10,99.0,49.0,2.0,3.0,3.0,18.0
jharsuguda,2019-05-11,167.0,117.0,3.0,3.0,4.0,13.0
jharsuguda,2019-05-12,127.0,92.0,3.0,9.0,5.0,6.0
jharsuguda,2019-06-03,144.0,88.0,5.0,8.0,3.0,24.0
jharsuguda,2019-06-05,128.0,103.0,,,,
jharsuguda,2019-06-06,103.0,58.0,9.0,7.0,3.0,26.0
jharsuguda,2019-06-07,43.0,21.0,5.0,4.0,,15.0
jharsuguda,2019-06-08,53.0,22.0,2.0,3.0,,17.0
jharsuguda,2019-06-09,63.0,23.0,1.0,3.0,4.0,17.0
